name,description,price,cost,unit,stock,min_stock,barcode,image_url,category
Bizcocho Salado,"Harina de trigo enriquecida (hierro 0.0030%, ácido fólico 0.00022%, tiamina 0.00063% (vitamina B1), riboflavina 0.00013% (vitamina B2), niacina 0.0013%), grasa bovina refinada, agua, sal, azúcar.",6298.00,0.00,U,87.000,0.000,7795735000328,https://images.openfoodfacts.org/images/products/779/573/500/0328/front_es.91.400.jpg,Botanas
Pasta de Maní Natural,Maní,8362.00,0.00,U,56.000,0.000,7798151952332,https://images.openfoodfacts.org/images/products/779/815/195/2332/front_en.58.400.jpg,Plant-based foods and beverages
Turrón & Maní,"JARABE DE GLUCOSA, HARINA DE TRIGO ENRIQUECIDA (HIERRO 0.0030%, ÁCIDO FÓLICO 0.00022%, TIAMINA 0.00063%, RIBOFLAVINA 0.00013%, NIACINA 0.0013%), AZÚCAR, MANÍ TOSTADO (10%), ACEITE DE GIRASOL, PROTEÍNA VEGETAL HIDROLIZADA, SAL, EMULSIONANTE (LECITINA DE SOJA), ESPESANTE (GELATINA), LEUDANTE (BICARBONATO DE SODIO), AROMA ARTIFICIAL.",13651.00,0.00,U,43.000,0.000,77940131,https://images.openfoodfacts.org/images/products/000/007/794/0131/front_es.64.400.jpg,Botanas
Yogur natural sin azúcar agregada,"Leche fluida entera, proteínas de origen lácteo, leche en polvo descremada, almidón modificado, estabilizante (gelatina), fermento de bacterias lácticas (Streptococcus thermophins y Lactobacillus bulgaricus), vitaminas A y D. CONTIENE LECHE",10570.00,0.00,U,56.000,0.000,7793913013993,https://images.openfoodfacts.org/images/products/779/391/301/3993/front_en.26.400.jpg,plain-yogurts
Pan Blanco LACTAL,,6690.00,0.00,U,81.000,0.000,7793890258769,https://images.openfoodfacts.org/images/products/779/389/025/8769/front_es.10.400.jpg,sliced-breads
Yogurisimo sabor Natural,"Leche entera, proteínas lácteas, almidón modificado de maíz, gelatina, lactasa, zinc, cultivos lácticos, cultivos probióticos (L casei, Bifidobacterium), vitaminas B3, B12, A.D y ácido fólico. CONTIENE LECHE.",13536.00,0.00,U,87.000,0.000,7791337006355,https://images.openfoodfacts.org/images/products/779/133/700/6355/front_en.19.400.jpg,Lácteos
9 de oro clásicos,"HARINA DE TRIGO, OLEOMARGARINA BOVINA, SAL, HARINA DE MALTA, LEVADURA, EMULSIONANTE: LECITINA (INS 322). CONTIENE DERIVADOS DE TRIGO CEBADA Y SOJA.",13907.00,0.00,U,80.000,0.000,7792200000159,https://images.openfoodfacts.org/images/products/779/220/000/0159/front_es.24.400.jpg,Botanas
Protein,"LECHE DESCREMADA, CONCENTRADO DE PROTEÍNAS LÁCTEAS, LACTASA, VITAMINAS (A, C, D).",12711.00,0.00,U,50.000,0.000,7790742358608,https://images.openfoodfacts.org/images/products/779/074/235/8608/front_es.114.400.jpg,Lácteos
Polenta instantánea,Harina de maíz precocida,1713.00,0.00,U,42.000,0.000,7790580138738,https://images.openfoodfacts.org/images/products/779/058/013/8738/front_es.25.400.jpg,es:Polenta
Finlandia lightx 290,"Queso (leche, proteínas lácteas, cloruro de calcio, regulador de acidez (ácido cítrico)), sal, emulsionante (citrato de sodio), conservador (sorbato de potasio, nisina, natamicina), aromatizante, espesantes (goma xántica, goma garrofin y goma guar), colorante (INS171).",5236.00,0.00,U,98.000,0.000,7790742373304,https://images.openfoodfacts.org/images/products/779/074/237/3304/front_es.39.400.jpg,Lácteos
Mayonesa Clásica Rica y Cremosa,"Agua, aceite vegetal, huevo líquido, almidón modificado, azúcar, vinagre de alcohol, sal, jugo concentrado de limón, estabilizante: goma xántica, acidulante: ácido sórbico, fosfórico, conservador: ácido aromatizantes: idénticos al natural y naturales, secuestrante: EDTA disódico cálcico, antioxidantes: BHT y BHA y colorante: betacaroteno. CONTIENE HUEVO.",8595.00,0.00,U,9.000,0.000,7794000006072,https://images.openfoodfacts.org/images/products/779/400/000/6072/front_en.31.400.jpg,mayonnaises
Dulce de leche estilo colonial,"Leche, azúcar, glucosa, aromatizante artificial vainilla, conservante (sorbato de potasio).CONTIENE LECHE",10664.00,0.00,U,75.000,0.000,7790742625205,https://images.openfoodfacts.org/images/products/779/074/262/5205/front_es.16.400.jpg,Desayunos
Alfajor de Dulce de Leche,"TAPA [HARINA DE TRIGO ENRIQUECIDA (Hierro 0.0030%, Ácido Fólico 0.00022%, Tiamina 0.00063% (Vitamina B1), Riboflavina 0.00013% (Vitamina B2), Niacina 0.0013%), AZÚCAR, GRASA VACUNA REFINADA, AGUA, JARABE DE MAÍZ DE ALTA FRUCTOSA, JARABE DE GLUCOSA, CACAO EN POLVO, SAL, EMULSIONANTES (INS 471, INS 472e), LEUDANTES QUÍMICOS (INS 450iii, INS 500ii, INS 503ii), AROMATIZANTE, CONSERVANTE (INS282, INS281, INS202), ESPESANTE (INS 412), COLORANTES (INS 160b, INS 100i), REGULADOR DE LA ACIDEZ (INS 330)]; BAÑO DE REPOSTERÍA CON AROMATIZANTE VAINILLINA [AZÚCAR, ACEITE VEGETAL INTERESTERIFICADO [ANTIOXIDANTES (INS 321, INS 319, INS 330)], CACAO EN POLVO, EMULSIONANTES (INS 492, INS 322 INS 442), AROMATIZANTE]; DULCE DE LECHE [ESTABILIZANTE (INS 500ii), CONSERVANTE (INS 202), AROMATIZANTE].",1211.00,0.00,U,9.000,0.000,77980229,https://images.openfoodfacts.org/images/products/000/007/798/0229/front_es.35.400.jpg,Snacks
Leche Zero Lactosa,"Leche parcialmente descremada, lactasa, vitaminas (A, D, B6, B9).",11946.00,0.00,U,35.000,0.000,7790742333605,https://images.openfoodfacts.org/images/products/779/074/233/3605/front_es.86.400.jpg,Lácteos
criollitas x3,"HARINA DE TRIGO ENRIQUECIDA (&quot;); GRASA BOVINA REFINADA; SAL; JARABE DE MAÍZ DE ALTA FRUCTOSA; LEVADURA; REGULADOR DE ACIDEZ: BICARBONATO DE SODIO: EMULSIONANTE: LECITINA DE SOJA/SOYA. (*) EN ARGENTINA - LEY 25.630 (CONTIENE: HIERRO: 30 mg/kg; ACIDO FÓLICO: 2,2 mg/kg; TIAMINA: 6,3 mg/kg; RIBOFLAVINA: 1,3 mg/kg; NIACINA: 13 mg/kg). CONTIENE DERIVADOS DE TRIGO Y SOJA/SOYA. PUEDE CONTENER ALMENDRA, AVELLANA, AVENA, CEBADA, CENTENO, LECHE, HUEVO Y MANI.",14414.00,0.00,U,97.000,0.000,7790040377806,https://images.openfoodfacts.org/images/products/779/004/037/7806/front_es.34.400.jpg,Plant-based foods and beverages
Agua,,8683.00,0.00,U,89.000,0.000,7792799000011,https://images.openfoodfacts.org/images/products/779/279/900/0011/front_fr.12.400.jpg,mineral-waters
Original,Yerba mate 100%.,3689.00,0.00,U,26.000,0.000,7790387014624,https://images.openfoodfacts.org/images/products/779/038/701/4624/front_es.6.400.jpg,Alimentos y bebidas de origen vegetal
Azúcar Clásica,Azúcar común tipo A,9864.00,0.00,U,30.000,0.000,7792540260138,https://images.openfoodfacts.org/images/products/779/254/026/0138/front_es.36.400.jpg,Endulzantes
Finlandia +Livx 290,,6058.00,0.00,U,98.000,0.000,7790742324108,https://images.openfoodfacts.org/images/products/779/074/232/4108/front_es.19.400.jpg,Dairies
Chocolinas Original,"HARINA DE TRIGO ENRIQUECIDA (*) AZÚCAR; GRASA BOVINA REFINADA; ACEITE DE GIRASOL ALTO OLEICO; CACAO EN POLVO, JARABE DE GLUCOSA; SAL; EMULSIONANTES: MONO Y DIGLICERIDOS DE ÁCIDOS GRASOS, ESTERES DE ÁCIDOS GRASOS CON PROPILENGLICOL SALES DE ÁCIDOS GRASOS CON POTASIO, LECITINA DE SOJA/SOYA; LEUDANTES QUIMICOS: BICARBONATO DE SODIO, BICARBONATO DE AMONIO, MEJORADOR DE HARINA METABISULFITO DE SODIO; COLORANTE: CARAMELO (INS150d); AROMATIZANTE ARTIFICIAL: VAINILLINA (&quot;) EN ARGENTINA-LEY 25.630 (CONTIENE: HIERRO: 30 mg/kg; ÁCIDO FOLICO: 2,2 mg/kg; TIAMINA 6,3 mg/kg; RIBOFLAVINA: 1,3 mg/kg; NIACINA: 13 mg/kg). CONTIENE SULFITOS, DERIVADOS DE TRIGO Y SOJA/SOYA PUEDE CONTENER ALMENDRA, AVELLANA, AVENA, CEBADA, CENTENO, HUEVO, LECHE Y MANI.",1558.00,0.00,U,69.000,0.000,7790040143234,https://images.openfoodfacts.org/images/products/779/004/014/3234/front_es.3.400.jpg,Snacks
Pan lactal - Lactal,,13370.00,0.00,U,16.000,0.000,7793890258752,https://images.openfoodfacts.org/images/products/779/389/025/8752/front_en.16.400.jpg,sliced-breads
Yogurisimo Griego Natural,"Leche entera pasteurizada, proteínas lácteas, almidón modificado de maíz, gelatina, lactasa, zinc, cultivos lácticos, cultivo probiótico (L. rhamnosus CRL 1505), vitaminas B12, A, D y ácido fólico. CONTIENE LECHE.",1975.00,0.00,U,44.000,0.000,7791337010017,https://images.openfoodfacts.org/images/products/779/133/701/0017/front_es.74.400.jpg,Dairies
coca cola,"origin flavor s col 150 ,aro,ac 38, contains cafena,nutritional information: serving 20 ndteloitals a uca is 22g, sodium 12 mg (0%vd), does not provide significant amounts of prote t t t20 al",11055.00,0.00,U,70.000,0.000,7790895000997,https://images.openfoodfacts.org/images/products/779/089/500/0997/front_en.43.400.jpg,Beverages
Alfajor de Dulce de Leche Blanco,"TAPA [HARINA DE TRIGO ENRIQUECIDA (HIERRO 0.0030%, ÁCIDO FÓLICO 0.00022%, TIAMINA 0.00063% (VITAMINA B1), RIBOFLAVINA 0.00013% (VITAMINA B2), NIACINA 0.0013%), AZÚCAR, GRASA VACUNA REFINADA, AGUA, JARABE DE MAÍZ DE ALTA FRUCTOSA, JARABE DE GLUCOSA, SAL, EMULSIONANTES (INS 471, INS 472e), LEUDANTES QUÍMICOS (INS 503ii, INS 450iii, INS 500ii), AROMATIZANTE, CONSERVANTES (INS 282, INS 281, INS 202), ESPESANTE (INS 412), COLORANTE (INS 160b, INS 100i), REGULADOR DE LA ACIDEZ (INS 330)]; BAÑO DE REPOSTERÍA FANTASÍA BLANCO [AZÚCAR, ACEITE VEGETAL INTERESTIFICADO (ANTIOXIDANTES (INS 321, INS 319, INS 330)), LECHE EN POLVO DESCREMADA, EMULSIONANTES (INS 322, INS 442, INS 476), COLORANTE (INS 171), AROMATIZANTE (ETILVAINILLINA)]; DULCE DE LECHE [ESTABILIZANTE (INS 500ii), CONSERVANTE (INS 202), AROMATIZANTE].",10683.00,0.00,U,30.000,0.000,77980212,https://images.openfoodfacts.org/images/products/000/007/798/0212/front_es.47.400.jpg,Snacks
Dulce de leche clásico,"Leche, azúcar, glucosa, calcio, conservante (sorbato de potasio), aromatizante artificial (vainilla)",3286.00,0.00,U,26.000,0.000,7790742625304,https://images.openfoodfacts.org/images/products/779/074/262/5304/front_en.14.400.jpg,Desayunos
PLAYADITO,100% Yerba Mate (Ilex Paraguariensis) Sin aditivos.,8590.00,0.00,U,53.000,0.000,7793704000911,https://images.openfoodfacts.org/images/products/779/370/400/0911/front_es.93.400.jpg,Alimentos
Manteca,"Crema, sólidos lácteos, aceite vegetal, cloruro de sodio.",11813.00,0.00,U,71.000,0.000,7793940054006,https://images.openfoodfacts.org/images/products/779/394/005/4006/front_es.42.400.jpg,Lácteos
pindy,"INGNEUIENTES: Harina de trigo enriquecida (&quot;), grasa bovina refinada, Jarabe de maiz de alta fructosa, levadura, sal, Harina de malta, emulsionante: lecitina de soja (INS 322), leudante quimico: bicarbonato de sodio (INS 500i), (&quot;) En Argentina segun ley 25.630: Hierro (como sulfato ferroso): 30 mg/kg, acido folico: 2,2 mg/kg, tiamina: 6,3 mg/kg, riboflavina: 1,3 mg/kg, niacina: 13 mg/kg. Contiene gluten y soja. Puede contener derivados lacteos, sulfitos, mani y nueces. Elaborado, Envasado y distribuido por Dilexis S. A. R.N.E N� 18000888. Sarmiento 3628, Dto. Albardon, Provincia de San Juan. R.N.P.A. N� 18006393. Consumir antes de:/Late Conservar en l",6287.00,0.00,U,79.000,0.000,7798113151322,https://images.openfoodfacts.org/images/products/779/811/315/1322/front_en.3.400.jpg,
Tregar Leche Entera,"Leche fluida entera, estabilizantes (INS 339, INS 339iii), vitaminas A y D",13216.00,0.00,U,50.000,0.000,7793913001822,https://images.openfoodfacts.org/images/products/779/391/300/1822/front_es.13.400.jpg,Dairies
SIN GAS,"Inspirada en las nubes Hidratación que se siente Smart porque así está hecha Las nubes son las heroínas no reconocidas que contienen la fuente de agua más pura de la naturaleza. Por eso nos hemos inspirado en ellas para crear smartwater®. Copiando el ciclo natural del agua, evaporamos y condensamos smartwater® para lograr la máxima pureza, y le agregamos una mezcla de electrolitos. INGR.: AGUA, CLORURO DE CALCIO, CLORURO DE MAGNESIO, BICARBONATO D POTASIO. Composición Mineral (ing/L.) ( Calcio Magnesio Potasio Sodio Cloruros Vlvvlv 70 5 TO GARANTIE, APRILIENĖ 822579 5680 5 10* 130 *Equivale a menos de 1 mg por 100 mL R.N.P.A. N°: 04067974. ELABORADA POR: COCA-COLA FEMSA DE BUENOS AIRES S.A., SAAVEDRA 1070, MONTE GRANDE, PCIA. DE BUENOS AIRES, ELABORADOR R.N.E. N° 02-032.092. EXPORTADOR R.N.E. N° 00000698.",9101.00,0.00,U,60.000,0.000,7790895645778,https://images.openfoodfacts.org/images/products/779/089/564/5778/front_es.7.400.jpg,es:Agua mineralizada
Alfajor negro rasta,"Dulce de leche (leche entera, azúcar, glucosa, espesante (INS 406), aromatizante (vainilla), regulador de acidez (INS 500ii), conservante (INS 202)), harina de trigo (harina de trigo, hierro 30mg/kg, ácido fólico 2.2mg/kg, vitamina B1 6.3mg/kg, vitamina B2 1.3mg/kg, niacina 13mg/kg), baño de repostería (aceite vegetal hidrogenado, azúcar, cacao, emulsificantes (INS 322, INS 942, INS 476), aromatizante (vainillina)), aceite vegetal hidrogenado, azúcar, fécula, jarabe de maíz de alta fructosa, lactosa hidrolizada, cacao en polvo, emulsificantes (INS 322, INS 471), leudante químico (INS 500ii, INS 503ii), aromatizante (INS 420), JMAF, conservante (INS 282)",12001.00,0.00,U,84.000,0.000,7798397444202,https://images.openfoodfacts.org/images/products/779/839/744/4202/front_es.3.400.jpg,Botanas
Queso blanco light x 290 tregar,"Leche parcialmente descremada, Cultivos Lácticos, Cloruro de Calcio, Cuajo. INS 410, INS 415, INS 412, INS 202.",7537.00,0.00,U,57.000,0.000,7793913013726,https://images.openfoodfacts.org/images/products/779/391/301/3726/front_es.27.400.jpg,es:queso untable
Cacao Amargo Puro En Polvo,Cacao en polvo alcalino,7598.00,0.00,U,66.000,0.000,7793323004802,https://images.openfoodfacts.org/images/products/779/332/300/4802/front_es.21.400.jpg,es:C
